time,text,location,userid,screenname
2019-04-07 09:57:52,"b'We want anybody but #Modi as PM of India says #TMCMP Sajda Ahmed, @akhtarshabina interviews the MP from #Uluberia\nhttps://t.co/dYOzBkNqOo #WestBengal #Elections2019 @rasheedkidwai'","Kolkata, India",821100031851843589,enewsroomindia
2019-04-07 09:50:08,b'We want anybody but #Modi as PM of India: #TMC @MpSajdaahmed\n \nhttps://t.co/dYOzBkNqOo #LokSabhaElections2019 @MamataOfficial',"Kolkata, India",821100031851843589,enewsroomindia
2019-04-07 09:49:33,"b""Pak has stopped it's commercial airspace for more than a month,\n\nEU blocked $10 billion fund to Pak.\n\nUSA stopped $300 million \n\nNow Pak Foreign Min says India likely to launch attacks against Pak btwn April 16-20\n\nThank #Modi ji\n https://t.co/EPj0YQpYhD | https://t.co/DVtHAv3IY4""",India,1603901210,AskTamal
2019-04-07 09:49:11,"b'#IndiaWantsModiAgain #23mayconggaye Congressi are a frustrated lot. They call others intolerant but are the most intolerant lot. Alok Verma throwing glasses at  panelists, Ragini running  away from the debate abusing GauravBhatia, getting physical with Press in their DNA #Modi https://t.co/upW1QJZGJA'",,2293399145,ranjana_sehgal
2019-04-07 09:47:33,"b""I can't wait for next episode ...\nWhen are the next 5 coming ??\n@ErosNow #PMModi #Modi #ErosNowOriginal""","Gujrat , india",153694043,naishadhv
2019-04-07 09:46:52,b'@abhijitsapkal1 @RahulGandhi Then why didnt do in the 10 years of his regimen? #ModiFor2019 #ModiHainTohMumkinHain #ModiLaoDeshBanao #Modi',"Vishakhapatnam, India",997058240595685377,Ganesh_NaMo4Ind
2019-04-07 09:43:02,"b'PM #Modi says a vote for BJP is a vote for him.\n\nSo a vote for BJP is a vote for corruption, unemployment, farmer distress, communal violence &amp; an absentee PM who ignores India for foreign trips.\n\nThanks for warning the voters, Modiji! \n\n#IsBaarPhirModi #ModiLaoDeshBanao @BJYM https://t.co/qYSCo4su3H'","Patna, India",810867843080318979,Sauravsriwasta
2019-04-07 09:36:47,b'Congress  President @RahulGandhi slams #Modi Modi\xe2\x80\x99s \xe2\x80\x98two Indias\xe2\x80\x99 https://t.co/Fnobcb3wSg',"Mumbai, India",1114468626,pankaj_shankar
2019-04-07 09:31:33,"b'@vinodtawde will definitely say something to the great @RajThackeray he is bloody education minister and don\xe2\x80\x99t know what education is ?? Sab bjp wale Saale chor hai, education ka e bhi nahi malum !! #ChowkidarChorHai #BJP_\xe0\xa4\xad\xe0\xa4\x97\xe0\xa4\xbe\xe0\xa4\x93_\xe0\xa4\xa6\xe0\xa5\x87\xe0\xa4\xb6_\xe0\xa4\xac\xe0\xa4\x9a\xe0\xa4\xbe\xe0\xa4\x93 #modi'","Mumbai, India",387514149,BeingMaddy14
2019-04-07 09:29:10,b'Nation with Modi \n@amitmalviya @nazlinshaikh #vijayapur #bjp #modi #bjpkarnataka  #bijapur #modi2019 #maharashtra #punjab #uttarpradesh #bihar #hariyana #madhyapradesh #gujrat #odisa #karnataka #westbengal #kerala #andrapradesh #banglore #telangana #hyderabad #Delhi #mumbai https://t.co/LWu33VvATI',"Bijapur, India",847040503027765249,BJPSagarLahoti
2019-04-07 09:25:23,b'@manakgupta @news24tvchannel I heard #Modi was the reason for intolerance\xf0\x9f\xa4\x94',"Maharashtra, India",30189505,mandarkokate
2019-04-07 09:24:20,"b'#IndiaWantsModiAgain \n\n#Modi speech in Jammu. \n\nPl note what he said...\n\n\xc2\xa0\xe2\x80\x9cEk Nissan (one flag), Ek Vidhan (one constitution) and Ek Pradhan (one Prime Minister)\xc2\xa0""Across India, including J&amp;K.'","NCR, India",401212636,Saurabh100a
2019-04-07 09:21:15,"b'Looks Approx 5-6 Crore\n#Modi: 500s, 1000s Notes Banned\n#BlackMoneyHolders: \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\n\n#LokSabhaElections2019 https://t.co/QFdcmtnhx4'",India,2910821887,i_Sunny92
2019-04-07 09:07:28,"b'@ManojM66 @kirti_sd @aayeff1 @IchbinUjjaini @Tamil1947 @KPadmaRani1 @soco_wat @sunilddesai @sanjayuvacha @satindra21 @WuntakalL @DickDarryl @krishpachegonkr @cochinmenon @SatanicJumlas @scrapravi @AvijitSinha5 @ganesan312 @RanjitOne @b_k70 @vanny_rao @IMVanshSharma @amitbehere @watdehel @twilightfairy @Samyuktha1908 @NSOOD6 @INCTharoorian @EmpoweringGoa @kukk44 @kurup62 @priyapyadav18 @geetv79 @tarun_k_trivedi @Tapan_999 @iScrew @Vidyut @Nikhil_P_B @ccfx135 @shivendushekhar @iKabir_Khan @yusufiosys @Scimitar_SS @devEkatvam @NembuKol @polysmind @Nehr_who @IncisiveScalpel @DesiStupides @Dilsedesh The reasons to send #Modi #BJP goons packing. Modi has lied, conned, fooled, hoodwinked Indian poor people. Again. And again. \n\nModi has zero conscience. Enough is enough, No more sucker. Never again. \xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87 https://t.co/t6KEFeIERC'","Hyderabad, India",985252295897206784,sweposten
2019-04-07 09:07:22,b'#IsBaarPhirModi\n#HealthForAll \n#WorldHealthDay2019 \n\nI want #Modi and do u all say?\n#Like and #retweet for yes and and if ur answer is no then reply with the reason below https://t.co/ZSziWuJWKF',India,2951713718,ImbadboyShubh
2019-04-07 09:05:05,"b""Hence it's proved !! @RajThackeray is outstanding persona with great point to point speech &amp; this time #GudiPadwa he rip #Modi &amp; #AmitShah agenda systematically with evidences and proofs.Can @BJP4India @BJP4Maharashtra prove him wrong? Big question @Dev_Fadnavis @mnsadhikrut https://t.co/zudfFViNmW""","Mumbai, India",844814207799312385,ShaileshB99
2019-04-07 09:01:09,"b'Indo-Singapore joint military exercise from April 8, 2019 https://t.co/HBYa3rTrQ4 via @militarychoice #AbHogaNYAY #Modi #RahulForBehtarBharat #SundayThoughts'",India,3134550840,militarychoice
2019-04-07 08:56:46,"b'@squintneon Dimple Yadav looks like a Hindu widow...No sindoor, bindi, mangal sutra, jewellery........These ppl have become Anti-Hindu in their hatred for #Modi or hv they converted'","Bombay,India ",1293923341,bhagnaris
2019-04-07 08:56:01,"b""@majorgauravarya @Abhimanyu_1987 Who is asking you to accept or reject. It's India's matter. Better keep Ur self away. And this is not old govvmt. This is #modi era.""","kota, Rajasthan, India",2536713270,aniketmehta23
2019-04-07 08:53:37,"b""#Modi needs Intellectuals and not #Yogi\nModi needs #Raghuram not Swami\nModi needs #Pitroda not Jaitley\n.\nBut sadly that will never happen and that's the fundamental prob of India.""",India,428389972,dr_d1991
2019-04-07 08:52:08,"b'@ramanathkrish66 @iAnkurSingh @Gopalee67 Misleading Lying Sanghi ji, he meant the free cylinder under the fake #Modi scheme, not regular cylinder.\n\nNow your goonda PM and his fat keep HRD min education are ....!!!'",India,2854003320,ScoopGuruNews
2019-04-07 08:50:23,"b'@Strive_4_futr @iAnkurSingh Misleading Sanghi ji, he meant the free cylinder under the fake #Modi scheme, not regular cylinder.'",India,2854003320,ScoopGuruNews
2019-04-07 08:50:05,"b'@RitikRai619 @iAnkurSingh Misleading Lying Sanghi ji, he meant the free cylinder under the fake #Modi scheme, not regular cylinder.'",India,2854003320,ScoopGuruNews
2019-04-07 08:49:46,"b'@mramukkohsa @iAnkurSingh Misleading Lying Sanghi ji, he meant the free cylinder under the fake #Modi scheme, not regular cylinder.'",India,2854003320,ScoopGuruNews
